Z(2, 2, 2, 3): Max: 4; Mean: 4; Variance: 0; Size: 8; Time: 0.0415 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 3, 2, 3): Max: 5; Mean: 5; Variance: 0; Size: 8; Time: 0.0138 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 4, 2, 3): Max: 6; Mean: 6; Variance: 0; Size: 8; Time: 0.0206 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 5, 2, 3): Max: 7; Mean: 7; Variance: 0; Size: 8; Time: 0.0184 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 6, 2, 3): Max: 8; Mean: 8; Variance: 0; Size: 8; Time: 0.0183 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 7, 2, 3): Max: 9; Mean: 9; Variance: 0; Size: 8; Time: 0.0242 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 8, 2, 3): Max: 10; Mean: 10; Variance: 0; Size: 8; Time: 0.0226 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 9, 2, 3): Max: 11; Mean: 11; Variance: 0; Size: 8; Time: 0.0266 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 10, 2, 3): Max: 12; Mean: 12; Variance: 0; Size: 8; Time: 0.032 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 11, 2, 3): Max: 13; Mean: 13; Variance: 0; Size: 8; Time: 0.0318 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 12, 2, 3): Max: 14; Mean: 14; Variance: 0; Size: 8; Time: 0.0359 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 13, 2, 3): Max: 15; Mean: 15; Variance: 0; Size: 8; Time: 0.0375 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 14, 2, 3): Max: 16; Mean: 16; Variance: 0; Size: 8; Time: 0.0368 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 15, 2, 3): Max: 17; Mean: 17; Variance: 0; Size: 8; Time: 0.0399 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 16, 2, 3): Max: 18; Mean: 18; Variance: 0; Size: 8; Time: 0.0451 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 17, 2, 3): Max: 19; Mean: 19; Variance: 0; Size: 8; Time: 0.0433 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 18, 2, 3): Max: 20; Mean: 20; Variance: 0; Size: 8; Time: 0.0557 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 19, 2, 3): Max: 21; Mean: 21; Variance: 0; Size: 8; Time: 0.0644 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 20, 2, 3): Max: 22; Mean: 22; Variance: 0; Size: 8; Time: 0.0547 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 21, 2, 3): Max: 23; Mean: 23; Variance: 0; Size: 8; Time: 0.0665 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 22, 2, 3): Max: 24; Mean: 24; Variance: 0; Size: 8; Time: 0.0651 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 23, 2, 3): Max: 25; Mean: 25; Variance: 0; Size: 8; Time: 0.0868 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 24, 2, 3): Max: 26; Mean: 26; Variance: 0; Size: 8; Time: 0.0588 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 25, 2, 3): Max: 27; Mean: 27; Variance: 0; Size: 8; Time: 0.0737 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 26, 2, 3): Max: 28; Mean: 28; Variance: 0; Size: 8; Time: 0.0913 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 27, 2, 3): Max: 29; Mean: 29; Variance: 0; Size: 8; Time: 0.0974 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 28, 2, 3): Max: 30; Mean: 30; Variance: 0; Size: 8; Time: 0.0895 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 29, 2, 3): Max: 31; Mean: 31; Variance: 0; Size: 8; Time: 0.0995 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
