Z(2, 2, 6, 6): Max: 4; Mean: 4; Variance: 0; Size: 4; Time: 0.015 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 3, 6, 6): Max: 6; Mean: 6; Variance: 0; Size: 4; Time: 0.0168 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 4, 6, 6): Max: 8; Mean: 8; Variance: 0; Size: 4; Time: 0.0094 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 5, 6, 6): Max: 10; Mean: 10; Variance: 0; Size: 4; Time: 0.0096 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 6, 6, 6): Max: 12; Mean: 12; Variance: 0; Size: 4; Time: 0.0072 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 7, 6, 6): Max: 14; Mean: 14; Variance: 0; Size: 4; Time: 0.0069 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 8, 6, 6): Max: 16; Mean: 16; Variance: 0; Size: 4; Time: 0.0096 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 9, 6, 6): Max: 18; Mean: 18; Variance: 0; Size: 4; Time: 0.0097 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 10, 6, 6): Max: 20; Mean: 20; Variance: 0; Size: 4; Time: 0.0097 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 11, 6, 6): Max: 22; Mean: 22; Variance: 0; Size: 4; Time: 0.0099 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 12, 6, 6): Max: 24; Mean: 24; Variance: 0; Size: 4; Time: 0.0099 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 13, 6, 6): Max: 26; Mean: 26; Variance: 0; Size: 4; Time: 0.0255 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 14, 6, 6): Max: 28; Mean: 28; Variance: 0; Size: 4; Time: 0.0101 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 15, 6, 6): Max: 30; Mean: 30; Variance: 0; Size: 4; Time: 0.0099 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 16, 6, 6): Max: 32; Mean: 32; Variance: 0; Size: 4; Time: 0.0101 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 17, 6, 6): Max: 34; Mean: 34; Variance: 0; Size: 4; Time: 0.0104 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 18, 6, 6): Max: 36; Mean: 36; Variance: 0; Size: 4; Time: 0.0103 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
Z(2, 19, 6, 6): Max: 38; Mean: 38; Variance: 0; Size: 4; Time: 0.0106 ms; Top5 histogram(relative to max) : 0 0 0 0 4 ;
