Z(2, 2, 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 4000; Time: 2.2559 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 3, 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 4000; Time: 2.31 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 4, 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 4000; Time: 3.1561 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 5, 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 4000; Time: 2.9278 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 6, 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 4000; Time: 3.966 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 7, 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 4000; Time: 4.4881 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 8, 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 4000; Time: 5.8142 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 9, 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 4000; Time: 6.1492 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 10, 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 4000; Time: 7.0964 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 11, 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 4000; Time: 7.0181 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 12, 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 4000; Time: 8.4251 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 13, 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 4000; Time: 9.2358 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 14, 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 4000; Time: 12.0003 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 15, 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 4000; Time: 13.6858 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 16, 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 4000; Time: 12.3578 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 17, 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 4000; Time: 11.8022 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 18, 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 4000; Time: 13.3332 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 19, 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 4000; Time: 13.7152 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 20, 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 4000; Time: 20.3368 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 21, 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 4000; Time: 25.8306 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 22, 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 4000; Time: 26.8043 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 23, 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 4000; Time: 26.8736 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 24, 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 4000; Time: 33.3064 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 25, 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 4000; Time: 31.1928 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 26, 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 4000; Time: 37.8113 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 27, 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 4000; Time: 33.3241 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 28, 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 4000; Time: 34.7254 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 29, 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 4000; Time: 47.957 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 30, 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 4000; Time: 55.6236 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 31, 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 4000; Time: 52.1036 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 32, 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 4000; Time: 62.1402 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 33, 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 4000; Time: 49.1876 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 34, 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 4000; Time: 66.4072 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 35, 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 4000; Time: 57.2642 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 36, 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 4000; Time: 73.5362 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 37, 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 4000; Time: 72.5598 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 38, 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 4000; Time: 78.4194 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 39, 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 4000; Time: 84.4783 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(2, 40, 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 4000; Time: 81.0198 ms; Top5 histogram(relative to max) : 0 0 0 0 4000 ;
Z(3, 3, 2, 2): Max: 6; Mean: 5.88575; Variance: 0.101197; Size: 4000; Time: 3.1002 ms; Top5 histogram(relative to max) : 0 0 0 457 3543 ;
