Z(2, 2, 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 8000; Time: 4.4136 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 3, 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 8000; Time: 3.9175 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 4, 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 8000; Time: 5.7718 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 5, 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 8000; Time: 5.8576 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 6, 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 8000; Time: 8.6541 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 7, 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 8000; Time: 8.2426 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 8, 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 8000; Time: 9.7407 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 9, 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 8000; Time: 10.5272 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 10, 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 8000; Time: 12.7181 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 11, 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 8000; Time: 16.4299 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 12, 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 8000; Time: 18.4488 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 13, 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 8000; Time: 17.1162 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 14, 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 8000; Time: 19.1812 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 15, 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 8000; Time: 20.5975 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 16, 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 8000; Time: 29.6589 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 17, 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 8000; Time: 34.5625 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 18, 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 8000; Time: 31.5265 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
